X,Y,Attention
28,284,1.2435001134872437
28,540,-3.650153160095215
28,796,0.08469641208648682
28,1052,-9.40614128112793
28,1308,-7.036342620849609
28,1564,-9.610088348388672
28,1820,-5.960177421569824
28,2076,-6.639239311218262
28,2332,-7.997016429901123
28,2588,-2.6873953342437744
28,2844,-8.394927024841309
28,3100,-0.005468129180371761
28,3356,-2.773888349533081
28,3612,0.8755931258201599
28,3868,1.8273836374282837
28,4124,-5.586735725402832
28,4380,-6.589038848876953
28,4636,-1.8425036668777466
28,4892,-9.330357551574707
28,5148,-2.258702278137207
28,5404,-2.695030927658081
28,5660,-6.751062870025635
28,5916,-4.217855930328369
28,6172,-4.1787109375
28,6428,-4.20424222946167
28,6684,-4.0140862464904785
28,6940,-4.099053382873535
28,7196,-7.669426441192627
28,7452,-3.8732149600982666
28,7708,-2.1148386001586914
284,28,0.9974256157875061
284,284,-3.3271865844726562
284,540,-3.419841766357422
284,796,-11.128039360046387
284,1052,-9.396331787109375
284,1308,-11.583499908447266
284,1564,-10.350902557373047
284,1820,-6.968787670135498
284,2076,-11.01378059387207
284,2332,-5.795233249664307
284,2588,-10.781371116638184
284,2844,-7.559381484985352
284,3100,-7.872497081756592
284,3356,-9.4093017578125
284,3612,-8.747135162353516
284,3868,-8.919989585876465
284,4124,-1.9135271310806274
284,4380,-8.500606536865234
284,4636,-5.193021774291992
284,4892,-6.614074230194092
284,5148,-8.08203411102295
284,5404,-4.791092395782471
284,5660,-3.5665841102600098
284,5916,-8.692049980163574
284,6172,-6.785794734954834
284,6428,-6.80078125
284,6684,-6.816005706787109
284,6940,-9.47549819946289
284,7196,-4.142143726348877
284,7452,-9.141234397888184
284,7708,-1.6701855659484863
540,28,-1.7430100440979004
540,284,-6.15302848815918
540,540,-8.13588809967041
540,796,-9.95003604888916
540,1052,-9.24402141571045
540,1308,-11.331859588623047
540,1564,-8.26623249053955
540,1820,-8.544388771057129
540,2076,-8.907125473022461
540,2332,-6.785850524902344
540,2588,-9.617554664611816
540,2844,-3.0308539867401123
540,3100,-8.521427154541016
540,3356,-9.671908378601074
540,3612,-9.3997220993042
540,3868,-7.727254867553711
540,4124,-7.180247783660889
540,4380,-6.18038272857666
540,4636,-8.695839881896973
540,4892,-4.405523777008057
540,5148,-8.504552841186523
540,5404,-6.208227157592773
540,5660,-4.794349193572998
540,5916,-3.520699977874756
540,6172,-8.581570625305176
540,6428,-6.785343647003174
540,6684,-6.796323776245117
540,6940,-8.232037544250488
540,7196,-8.434395790100098
540,7452,-2.197111129760742
540,7708,-7.507906913757324
796,28,-4.664474010467529
796,284,-7.966923713684082
796,540,-10.6428861618042
796,796,-7.90332555770874
796,1052,-11.858274459838867
796,1308,-9.270593643188477
796,1564,-6.837039947509766
796,1820,-10.6087064743042
796,2076,-5.04658842086792
796,2332,-9.020283699035645
796,2588,-6.57548189163208
796,2844,-9.055207252502441
796,3100,-7.879928112030029
796,3356,-8.230188369750977
796,3612,-9.659788131713867
796,3868,-7.631056308746338
796,4124,-9.01726245880127
796,4380,-4.896378040313721
796,4636,-6.974680423736572
796,4892,-7.788269996643066
796,5148,-2.9278876781463623
796,5404,-6.3773956298828125
796,5660,-7.673518657684326
796,5916,-5.597248077392578
796,6172,-5.857239246368408
796,6428,-7.814602851867676
796,6684,-8.623551368713379
796,6940,-6.2498297691345215
796,7196,-4.357151031494141
796,7452,-5.452260494232178
796,7708,-9.298542976379395
1052,28,-4.2088398933410645
1052,284,-10.835755348205566
1052,540,-8.386609077453613
1052,796,-10.966647148132324
1052,1052,-10.780679702758789
1052,1308,-8.041415214538574
1052,1564,-10.578228950500488
1052,1820,-8.108933448791504
1052,2076,-8.42620849609375
1052,2332,-9.869695663452148
1052,2588,-4.990795135498047
1052,2844,-8.567174911499023
1052,3100,-9.873763084411621
1052,3356,-7.631056785583496
1052,3612,-9.567079544067383
1052,3868,-5.921703815460205
1052,4124,-1.2068732976913452
1052,4380,-1.2061947584152222
1052,4636,-4.367713451385498
1052,4892,-7.105404853820801
1052,5148,-6.6015214920043945
1052,5404,-3.1845686435699463
1052,5660,-9.446178436279297
1052,5916,-6.618653297424316
1052,6172,-5.462253570556641
1052,6428,-8.714217185974121
1052,6684,-8.75644588470459
1052,6940,-7.639078140258789
1052,7196,-2.7650797367095947
1052,7452,-8.912237167358398
1052,7708,-9.20167064666748
1308,28,-8.916670799255371
1308,284,-7.856278896331787
1308,540,-10.831275939941406
1308,796,-10.80862808227539
1308,1052,-7.830844402313232
1308,1308,-8.59533977508545
1308,1564,-8.963639259338379
1308,1820,-4.860579013824463
1308,2076,-9.773216247558594
1308,2332,-4.380125999450684
1308,2588,-9.773896217346191
1308,2844,-9.804282188415527
1308,3100,-9.116477966308594
1308,3356,-7.824051380157471
