X,Y,Attention
26,26,-1.1750985383987427
26,282,-6.085704803466797
26,538,-3.778883695602417
26,794,-1.3263390064239502
26,1050,-2.8314380645751953
26,1306,-6.35867977142334
26,1562,-8.003501892089844
26,1818,-0.15061065554618835
26,2074,0.16737380623817444
26,2330,-6.742861747741699
26,2586,2.910670042037964
26,2842,-3.4888832569122314
26,3098,-6.246943473815918
26,3354,-3.4547181129455566
26,3610,-3.000969648361206
26,3866,-1.932908535003662
26,4122,-1.8637357950210571
26,4378,-1.5344797372817993
26,4634,-5.591342926025391
26,4890,-2.7976934909820557
26,5146,-6.096034526824951
26,5402,-5.909541130065918
26,5658,-7.853282928466797
26,5914,-6.3522868156433105
26,6170,-4.627357006072998
26,6426,-10.006416320800781
26,6682,-2.331542730331421
26,6938,3.1830286979675293
26,7194,2.9895217418670654
26,7450,-0.2503701150417328
26,7706,-5.616242408752441
282,26,-4.50402307510376
282,282,-5.572500705718994
282,538,-4.5905866622924805
282,794,-5.0658416748046875
282,1050,-9.338364601135254
282,1306,-8.81396484375
282,1562,-2.898444414138794
282,1818,-2.9212582111358643
282,2074,-8.28544807434082
282,2330,-1.897578477859497
282,2586,0.9094733595848083
282,2842,-5.6959452629089355
282,3098,-6.58530855178833
282,3354,-5.842992782592773
282,3610,-6.8112592697143555
282,3866,-5.798637866973877
282,4122,-4.046438694000244
282,4378,-6.924182415008545
282,4634,-5.6600871086120605
282,4890,-7.061888694763184
282,5146,-7.319766998291016
282,5402,-9.24882984161377
282,5658,-7.970421314239502
282,5914,-8.433371543884277
282,6170,-10.034207344055176
282,6426,-8.870283126831055
282,6682,1.415393590927124
282,6938,1.5989270210266113
282,7194,-0.26309406757354736
282,7450,-0.24224735796451569
282,7706,1.128746509552002
538,26,-1.8062798976898193
538,282,-6.754057884216309
538,538,-8.219270706176758
538,794,-8.289708137512207
538,1050,-5.006030559539795
538,1306,-3.1592509746551514
538,1562,-3.186533212661743
538,1818,-6.685044765472412
538,2074,-4.04544734954834
538,2330,0.43728992342948914
538,2586,-0.6640865206718445
538,2842,-4.5027875900268555
538,3098,-5.159218788146973
538,3354,-6.582619667053223
538,3610,-3.990163803100586
538,3866,-3.139544725418091
538,4122,-6.365708827972412
538,4378,-7.501909255981445
538,4634,-6.706562519073486
538,4890,-7.589757919311523
538,5146,-7.0964837074279785
538,5402,-7.409262180328369
538,5658,-7.8310112953186035
538,5914,-8.760570526123047
538,6170,-5.316821098327637
538,6426,-7.422434329986572
538,6682,-1.5413856506347656
538,6938,1.6959948539733887
538,7194,0.25048643350601196
538,7450,-8.457643508911133
538,7706,-9.616512298583984
794,26,-7.822766304016113
794,282,-8.354866981506348
794,538,-5.558530807495117
794,794,-3.1377594470977783
794,1050,-6.176494121551514
794,1306,-4.733818531036377
794,1562,-10.7678804397583
794,1818,-3.887664556503296
794,2074,0.6764933466911316
794,2330,-3.144913911819458
794,2586,-9.178441047668457
794,2842,-8.130217552185059
794,3098,-7.691673755645752
794,3354,-7.383616924285889
794,3610,-7.148115158081055
794,3866,-6.660462379455566
794,4122,-7.633959770202637
794,4378,-8.405437469482422
794,4634,-8.421810150146484
794,4890,-7.866369724273682
794,5146,-5.251884460449219
794,5402,-7.758056640625
794,5658,-5.603933811187744
794,5914,-5.295287609100342
794,6170,-5.23464822769165
794,6426,-5.167427062988281
794,6682,-5.905882358551025
794,6938,-3.6899828910827637
794,7194,-7.691529750823975
794,7450,-8.903711318969727
794,7706,-8.136615753173828
1050,26,-3.3517680168151855
1050,282,-3.1365582942962646
1050,538,-3.0300681591033936
1050,794,-5.2601399421691895
1050,1050,-10.327824592590332
1050,1306,-8.045923233032227
1050,1562,-4.952679634094238
1050,1818,1.1135692596435547
1050,2074,-2.915497303009033
1050,2330,-10.207616806030273
1050,2586,-7.063024044036865
1050,2842,-6.125483989715576
1050,3098,-9.438626289367676
1050,3354,-8.649401664733887
1050,3610,-4.490560054779053
1050,3866,-4.832631587982178
1050,4122,-6.431066513061523
1050,4378,-5.894602298736572
1050,4634,-6.547078609466553
1050,4890,-4.0678486824035645
1050,5146,-4.446464538574219
1050,5402,-6.00559663772583
1050,5658,-5.1940202713012695
1050,5914,-5.08225154876709
1050,6170,-5.078139305114746
1050,6426,-5.362138748168945
1050,6682,-5.413915157318115
1050,6938,-7.247904300689697
1050,7194,-8.53490161895752
1050,7450,-6.584754467010498
1050,7706,-8.41624641418457
1306,26,-1.075736165046692
1306,282,-4.513726711273193
1306,538,-10.227632522583008
1306,794,-7.2232818603515625
1306,1050,-5.477941036224365
1306,1306,-5.1976799964904785
1306,1562,0.5729171633720398
1306,1818,-0.18710720539093018
1306,2074,-10.525896072387695
1306,2330,-7.926708221435547
1306,2586,-9.221060752868652
1306,2842,-10.392587661743164
1306,3098,-6.945899963378906
1306,3354,-5.8923211097717285
1306,3610,-7.014816761016846
1306,3866,-2.4303297996520996
1306,4122,-4.123169422149658
1306,4378,-5.292070388793945
1306,4634,-4.071740627288818
1306,4890,-3.6455366611480713
1306,5146,-0.8806424736976624
1306,5402,1.4434781074523926
1306,5658,-7.568473815917969
1306,5914,-4.897795677185059
1306,6170,-5.294363021850586
1306,6426,-6.608163356781006
1306,6682,-9.316556930541992
1306,6938,-6.734504699707031
1306,7194,-7.629250526428223
1306,7450,-9.567055702209473
1306,7706,-9.559344291687012
1562,26,-5.728743553161621
1562,282,-6.899932384490967
1562,538,-7.7515034675598145
1562,794,-1.7356109619140625
1562,1050,-5.45164155960083
1562,1306,-5.469444751739502
1562,1562,-5.325664520263672
1562,1818,-7.634489059448242
1562,2074,-8.814812660217285
1562,2330,-9.932116508483887
1562,2586,-10.769893646240234
1562,2842,-4.497306823730469
1562,3098,-3.9796135425567627
1562,3354,-5.917862892150879
1562,3610,-4.609045028686523
1562,3866,-4.019670009613037
1562,4122,-1.1338688135147095
1562,4378,-1.1043089628219604
1562,4634,-0.8931272625923157
1562,4890,-6.213197231292725
1562,5146,-1.0512155294418335
1562,5402,-6.074167728424072
1562,5658,-3.8686578273773193
1562,5914,-5.074914455413818
1562,6170,-6.662521839141846
1562,6426,-9.080097198486328
1562,6682,-5.889455795288086
1562,6938,-9.932428359985352
1562,7194,-9.693748474121094
1562,7450,-7.306654930114746
1562,7706,-6.186343193054199
1818,26,-6.37892484664917
1818,282,-7.248285293579102
1818,538,-1.2635804414749146
1818,794,0.7412993907928467
1818,1050,-2.6638197898864746
1818,1306,-5.857496738433838
1818,1562,-7.6669511795043945
1818,1818,-9.428224563598633
1818,2074,-9.448404312133789
1818,2330,-11.077207565307617
1818,2586,-3.1729235649108887
1818,2842,-6.600756645202637
1818,3098,-2.2461371421813965
1818,3354,-3.9062397480010986
1818,3610,-0.11328353732824326
1818,3866,-5.536731719970703
1818,4122,-0.4498690366744995
1818,4378,-0.4101763367652893
1818,4634,-0.3687885105609894
1818,4890,0.9606969356536865
1818,5146,-0.02405655011534691
1818,5402,-4.126303672790527
1818,5658,-2.5463101863861084
1818,5914,-6.632715702056885
1818,6170,-9.902205467224121
1818,6426,-6.754316806793213
1818,6682,-9.683008193969727
1818,6938,-8.774995803833008
1818,7194,-6.441470623016357
1818,7450,-8.392687797546387
1818,7706,-7.773121356964111
2074,26,-1.2841460704803467
2074,282,-9.131387710571289
2074,538,-7.349269866943359
2074,794,-2.412362813949585
2074,1050,-3.1307923793792725
2074,1306,-7.714184761047363
2074,1562,-9.648222923278809
2074,1818,-8.000894546508789
2074,2074,-11.691361427307129
2074,2330,-5.472880840301514
2074,2586,-7.082304000854492
2074,2842,-1.620092511177063
2074,3098,0.4527711272239685
2074,3354,1.132872223854065
2074,3610,1.961182951927185
2074,3866,1.9229341745376587
2074,4122,2.24318528175354
2074,4378,-0.10715042799711227
2074,4634,1.7936265468597412
2074,4890,1.0513561964035034
2074,5146,-0.2227059006690979
2074,5402,-5.595109462738037
2074,5658,-7.939071178436279
2074,5914,-10.166342735290527
2074,6170,-6.866085052490234
2074,6426,-9.45038890838623
2074,6682,-9.271468162536621
2074,6938,-6.06918478012085
2074,7194,-7.424954414367676
2074,7450,-8.1080904006958
2074,7706,-1.8866426944732666
2330,26,-3.9781479835510254
2330,282,-7.17996072769165
2330,538,-8.242321968078613
2330,794,-8.429184913635254
2330,1050,-7.201305389404297
2330,1306,-7.149806022644043
2330,1562,-8.156442642211914
2330,1818,-10.76745891571045
2330,2074,-7.55006742477417
2330,2330,-4.360851287841797
2330,2586,-1.6853300333023071
2330,2842,0.08858772367238998
2330,3098,0.6530120968818665
2330,3354,1.5493810176849365
2330,3610,1.7384244203567505
2330,3866,1.9148262739181519
2330,4122,1.8433911800384521
2330,4378,-0.3226587176322937
2330,4634,-3.765658140182495
2330,4890,-0.7244457006454468
2330,5146,-2.7092835903167725
2330,5402,-3.8499066829681396
2330,5658,-11.0880126953125
2330,5914,-7.448339939117432
2330,6170,-8.286642074584961
2330,6426,-8.716999053955078
2330,6682,-5.708422660827637
2330,6938,-7.253311634063721
2330,7194,-7.327730178833008
2330,7450,-0.43606114387512207
2330,7706,-1.9186890125274658
2586,26,0.5891498923301697
2586,282,-7.587331771850586
2586,538,-10.102448463439941
2586,794,-6.721775054931641
2586,1050,-6.728226661682129
2586,1306,-9.82839298248291
2586,1562,-9.61779499053955
2586,1818,-5.218214988708496
2586,2074,-2.5296995639801025
2586,2330,-2.8740954399108887
2586,2586,-0.14677059650421143
2586,2842,0.5023165941238403
2586,3098,0.5350980162620544
2586,3354,-0.024551663547754288
2586,3610,-0.35878288745880127
2586,3866,-0.47079700231552124
2586,4122,-0.7984830141067505
2586,4378,-1.4433268308639526
2586,4634,-1.8687293529510498
2586,4890,-2.3304924964904785
2586,5146,-4.399594783782959
2586,5402,-9.652356147766113
2586,5658,-10.619894027709961
2586,5914,-7.727809429168701
2586,6170,-10.498085021972656
2586,6426,-8.141066551208496
2586,6682,-8.260088920593262
2586,6938,-5.113490104675293
2586,7194,-2.0880279541015625
2586,7450,1.5642253160476685
2586,7706,-3.0546021461486816
2842,26,-1.7064845561981201
2842,282,-4.653130531311035
2842,538,-2.141493082046509
2842,794,0.5528771877288818
2842,1050,-4.399203300476074
2842,1306,-2.5231339931488037
2842,1562,-0.7717891335487366
2842,1818,-3.6039721965789795
2842,2074,-2.574491500854492
2842,2330,0.08623137325048447
2842,2586,-0.005299742333590984
2842,2842,-0.5469366312026978
2842,3098,-1.1615456342697144
2842,3354,-1.2909451723098755
2842,3610,-1.363612174987793
2842,3866,-1.3288121223449707
2842,4122,-2.5273776054382324
2842,4378,-1.511399745941162
2842,4634,-2.8770339488983154
2842,4890,-1.761269450187683
2842,5146,-7.939279556274414
2842,5402,-10.324804306030273
2842,5658,-4.97684383392334
2842,5914,-8.93195915222168
2842,6170,-7.492040157318115
2842,6426,-5.605309009552002
2842,6682,-2.639141798019409
2842,6938,-1.6878944635391235
2842,7194,-1.6402490139007568
2842,7450,1.6648257970809937
2842,7706,1.6923928260803223
3098,26,1.5595213174819946
3098,282,0.09646611660718918
3098,538,-2.3941826820373535
3098,794,-4.155810832977295
3098,1050,-3.5442824363708496
3098,1306,-4.125508785247803
3098,1562,-1.9218175411224365
3098,1818,0.0056899916380643845
3098,2074,0.27316057682037354
3098,2330,0.0475277304649353
3098,2586,-0.3021466135978699
3098,2842,-3.7315943241119385
3098,3098,-4.577570915222168
3098,3354,-2.853414535522461
3098,3610,-2.069751024246216
3098,3866,-1.013909101486206
3098,4122,-0.5369661450386047
3098,4378,0.1725367307662964
3098,4634,-1.4854923486709595
3098,4890,-9.172865867614746
3098,5146,-10.367059707641602
3098,5402,-6.3034348487854
3098,5658,-7.156856536865234
3098,5914,-9.38811206817627
3098,6170,-8.796319007873535
3098,6426,-2.0712811946868896
3098,6682,-6.371603012084961
3098,6938,-1.6051515340805054
3098,7194,-6.915930271148682
3098,7450,0.7669474482536316
3098,7706,1.5189485549926758
3354,26,2.5541629791259766
3354,282,0.8415006399154663
3354,538,0.3692452311515808
3354,794,0.5079643726348877
3354,1050,0.4409388601779938
3354,1306,0.3294597268104553
3354,1562,-0.558838963508606
