X,Y,Attention
26,26,2.538743019104004
26,282,0.7861157059669495
26,538,-1.890167474746704
26,794,-1.167639970779419
26,1050,-0.910124659538269
26,1306,-3.759718418121338
26,1562,1.4654470682144165
26,1818,1.9307695627212524
26,2074,2.2414915561676025
26,2330,-5.444023132324219
26,2586,3.1788530349731445
26,2842,-5.77653169631958
26,3098,-1.6218730211257935
26,3354,-1.050299882888794
26,3610,0.6176199316978455
26,3866,0.9687174558639526
26,4122,0.5771245956420898
26,4378,0.5715202689170837
26,4634,-4.720110893249512
26,4890,-0.5085566639900208
26,5146,-6.870379447937012
26,5402,1.4447957277297974
26,5658,2.824923038482666
26,5914,2.824183702468872
26,6170,3.4030516147613525
26,6426,3.591583728790283
26,6682,3.5994532108306885
26,6938,3.6060872077941895
26,7194,3.3601105213165283
26,7450,-0.3499535024166107
26,7706,-2.0757546424865723
282,26,-4.467557907104492
282,282,-8.405071258544922
282,538,-6.929592609405518
282,794,-6.6963725090026855
282,1050,-7.9270710945129395
282,1306,-7.516430854797363
282,1562,-5.531406879425049
282,1818,-1.657103180885315
282,2074,-0.4042961001396179
282,2330,-4.220396995544434
282,2586,1.046378493309021
282,2842,-7.551455974578857
282,3098,-6.035932540893555
282,3354,-2.612898826599121
282,3610,-2.3034915924072266
282,3866,-1.7931185960769653
282,4122,-1.9015231132507324
282,4378,-2.7191107273101807
282,4634,-8.981532096862793
282,4890,-3.247614860534668
282,5146,-5.237677574157715
282,5402,-7.5968918800354
282,5658,-0.7610121965408325
282,5914,0.26984336972236633
282,6170,0.5110902786254883
282,6426,1.0436424016952515
282,6682,1.4490114450454712
282,6938,1.3367788791656494
282,7194,0.4328743815422058
282,7450,-4.2157111167907715
282,7706,-1.6257723569869995
538,26,-8.318074226379395
538,282,-5.679005146026611
538,538,-4.996228218078613
538,794,-9.091004371643066
538,1050,-5.035716533660889
538,1306,-9.912788391113281
538,1562,-3.9593615531921387
538,1818,-0.5679483413696289
538,2074,-0.4187208414077759
538,2330,-0.1602635383605957
538,2586,0.7904716730117798
538,2842,-9.113323211669922
538,3098,-6.220285892486572
538,3354,-2.7240612506866455
538,3610,-2.0446817874908447
538,3866,-2.621671438217163
538,4122,-2.802111864089966
538,4378,-3.7806971073150635
538,4634,-8.23550796508789
538,4890,-7.83112096786499
538,5146,-3.4397337436676025
538,5402,-6.072341442108154
538,5658,-7.710707187652588
538,5914,-1.3215211629867554
538,6170,0.17845995724201202
538,6426,0.6791090369224548
538,6682,1.3748509883880615
538,6938,1.3992568254470825
538,7194,-2.6983554363250732
538,7450,-1.6141796112060547
538,7706,-5.0960798263549805
794,26,-2.9392588138580322
794,282,-5.681363582611084
794,538,-4.892034530639648
794,794,-9.688263893127441
794,1050,-5.556078910827637
794,1306,-7.870174884796143
794,1562,-4.7401604652404785
794,1818,-0.33441397547721863
794,2074,-0.15926140546798706
794,2330,-0.2340470403432846
794,2586,0.1823335736989975
794,2842,-9.534822463989258
794,3098,-6.834790229797363
794,3354,-2.9200940132141113
794,3610,-3.820012092590332
794,3866,-7.586577892303467
794,4122,-9.359140396118164
794,4378,-6.362695217132568
794,4634,-3.460132598876953
794,4890,-11.302606582641602
794,5146,-4.173811435699463
794,5402,-4.006442070007324
794,5658,-5.994691371917725
794,5914,-7.815295219421387
794,6170,-0.2106422483921051
794,6426,0.5710270404815674
794,6682,1.3256642818450928
794,6938,1.3219530582427979
794,7194,-3.005629777908325
794,7450,-5.231077194213867
794,7706,-1.2113268375396729
1050,26,-2.849771022796631
1050,282,-8.69985294342041
1050,538,-7.901663780212402
1050,794,-8.071959495544434
1050,1050,-5.024162769317627
1050,1306,-9.241202354431152
1050,1562,-1.0294159650802612
1050,1818,-0.47658851742744446
1050,2074,-0.28712040185928345
1050,2330,0.5722772479057312
1050,2586,-5.756986618041992
1050,2842,-6.499519348144531
1050,3098,-6.404160976409912
1050,3354,-2.858337879180908
1050,3610,-6.796032428741455
1050,3866,0.08833839744329453
1050,4122,-5.231537342071533
1050,4378,-6.31846809387207
1050,4634,-3.703335762023926
1050,4890,-8.13066291809082
1050,5146,-9.53213119506836
1050,5402,-2.3305444717407227
1050,5658,-4.128243446350098
1050,5914,-6.292348384857178
1050,6170,-2.8548827171325684
1050,6426,0.3714969754219055
1050,6682,1.4017717838287354
1050,6938,1.3210920095443726
1050,7194,-1.1937463283538818
1050,7450,-4.555858135223389
1050,7706,-1.4875152111053467
1306,26,-5.009547710418701
1306,282,-9.04990291595459
1306,538,-5.4007954597473145
1306,794,-8.81007194519043
1306,1050,-7.783369541168213
1306,1306,-4.156533718109131
1306,1562,-0.627302885055542
1306,1818,-0.18317517638206482
1306,2074,-0.36368808150291443
1306,2330,0.05130092427134514
1306,2586,-9.617280960083008
1306,2842,-6.16485071182251
1306,3098,-4.562369346618652
1306,3354,-2.5565714836120605
1306,3610,-7.3411784172058105
1306,3866,-7.695871829986572
1306,4122,-1.5829986333847046
1306,4378,-4.9711737632751465
1306,4634,-5.030574798583984
1306,4890,-3.8340492248535156
1306,5146,-10.564167976379395
1306,5402,-2.054600238800049
1306,5658,-3.1073029041290283
1306,5914,-5.906999111175537
1306,6170,-6.060854434967041
1306,6426,0.4011213481426239
1306,6682,1.1568564176559448
1306,6938,1.4412837028503418
1306,7194,0.24048291146755219
1306,7450,-4.295782089233398
1306,7706,-6.055612087249756
1562,26,-3.0052223205566406
1562,282,-7.395510196685791
1562,538,-7.122364521026611
1562,794,-7.977687835693359
1562,1050,-9.104829788208008
1562,1306,-1.0153266191482544
1562,1562,-0.2252909541130066
1562,1818,-0.11027202010154724
1562,2074,1.0334725379943848
1562,2330,-4.41721773147583
1562,2586,-8.196749687194824
1562,2842,-8.052952766418457
1562,3098,-3.4987385272979736
1562,3354,-2.982034683227539
1562,3610,-4.080650806427002
1562,3866,-2.827777624130249
1562,4122,-0.5805156826972961
1562,4378,-2.495135545730591
1562,4634,-4.260595321655273
1562,4890,-6.917266368865967
1562,5146,-10.243317604064941
1562,5402,-2.217054843902588
1562,5658,-2.8014097213745117
1562,5914,-6.044886112213135
1562,6170,-6.924731254577637
1562,6426,0.48361465334892273
1562,6682,1.1754564046859741
1562,6938,1.073624610900879
1562,7194,0.26935887336730957
1562,7450,-0.33946409821510315
1562,7706,-3.405984401702881
1818,26,-3.930511951446533
1818,282,-4.816771984100342
1818,538,-3.935448408126831
1818,794,-6.576095104217529
1818,1050,-1.1704390048980713
1818,1306,-2.107728958129883
1818,1562,-0.27406492829322815
1818,1818,-0.20367977023124695
1818,2074,0.18516430258750916
1818,2330,-9.177703857421875
1818,2586,-5.826319217681885
1818,2842,-9.411124229431152
1818,3098,-3.57419490814209
1818,3354,-7.187250137329102
1818,3610,-0.5370210409164429
1818,3866,-0.9044837355613708
1818,4122,-5.266247272491455
1818,4378,-7.702487945556641
1818,4634,-4.929983615875244
1818,4890,-4.984633445739746
1818,5146,-10.570882797241211
1818,5402,-2.1714580059051514
1818,5658,-3.750929117202759
1818,5914,-7.354833602905273
1818,6170,-4.387532711029053
1818,6426,0.42493245005607605
1818,6682,1.341908574104309
1818,6938,0.08419749140739441
1818,7194,0.04765208065509796
1818,7450,-0.3874090611934662
1818,7706,-0.6566188931465149
2074,26,0.5105018615722656
2074,282,-0.880413830280304
2074,538,-0.9056400656700134
