enrichm,p_higher_orig,p_lower_orig,PI_value,cell_1,cell_2
-3.15906400881055,1,0,-6.31812801762109,Other,Tumor
-1.4447848426729,1,0.05,-1.76530855348454,Helper T-Cell,Tumor
1.05054160861979,0,1,2.10108321723958,Other,Other
-1,1,0.96,-0.0132282657337552,Helper T-Cell,Helper T-Cell
0.85977376717889,0,1,1.71954753435778,Tumor,Tumor
-0.815575428862573,0.96,0.11,-0.750997150159408,T-reg,Tumor
0.584962500721156,0.81,1,0.0504156644371438,Helper T-Cell,T-reg
-0.533873728788695,0.88,0.31,-0.264187426265518,Other,T-reg
0.436682493318823,0.21,0.94,0.287152503288467,Helper T-Cell,Other
-0.070389327891398,1,0.99,0,T-reg,T-reg
