enrichm,p_higher_orig,p_lower_orig,PI_value,cell_1,cell_2
4.36257007938471,0.01,1,7.41187570668842,Tumor,Tumor
-3.15158224601489,1,0,-6.30316449202978,Other,Tumor
-1.40389694167364,1,0.35,-0.622905562201049,APC,Tumor
-1.33758135919885,1,0.45,-0.451088837878527,Helper T-Cell,Tumor
-1.22239242133645,1,0.43,-0.435840746111079,CTL,Tumor
-1,1,0.99,0,Helper T-Cell,Helper T-Cell
-1,1,0.99,0,T-reg,T-reg
-1,1,0.97,-0.00877392430750515,APC,Helper T-Cell
-1,1,0.96,-0.0132282657337552,CTL,T-reg
-1,1,0.95,-0.0177287669604316,APC,T-reg
-1,1,0.92,-0.0315170514460649,APC,CTL
0.777607578663552,0.57,1,0.183960185105103,T-reg,Tumor
0.584962500721156,0.98,1,0.00255324748337842,CTL,CTL
-0.299495874392619,1,0.01,-0.508834507015448,Other,T-reg
-0.23025648711653,1,0.01,-0.391198864914768,CTL,Other
-0.0780025120012732,1,0.99,0,CTL,Helper T-Cell
-0.0638316118692355,0.9,0.28,-0.0343160023382377,Helper T-Cell,Other
0.0465159917896375,0,1,0.0930319835792751,Other,Other
-0.0445530852603155,0.87,0.37,-0.0187219372477144,APC,Other
0,1,1,0,APC,APC
0,1,1,0,Helper T-Cell,T-reg
