enrichm,p_higher_orig,p_lower_orig,PI_value,cell_1,cell_2
-2.09761079662642,1,0,-4.19522159325284,APC,Tumor
2.00219310157392,0,1,4.00438620314783,Other,Other
-1.58496250072116,1,0.26,-0.901267110359237,Other,T-reg
-1.52685131157335,1,0,-3.0537026231467,Other,Tumor
1.0911478880582,0.51,1,0.309882351808478,APC,Other
-1,1,0.99,0,T-reg,T-reg
-1,1,0.98,-0.00436480540245009,APC,APC
-1,1,0.98,-0.00436480540245009,APC,T-reg
0.237863830098888,0.24,1,0.143208295486572,T-reg,Tumor
0.177036660565112,0,1,0.354073321130224,Tumor,Tumor
