X_min,Y_min,Density,X_max,Y_max
17.9362745098039,18.9311594202899,0.118263955641062,155.936274509804,120.93115942029
27.8088235294118,18.9311594202899,0.118017276483911,165.808823529412,120.93115942029
37.6813725490196,18.9311594202899,0.11745841873936,175.68137254902,120.93115942029
47.5539215686275,18.9311594202899,0.116647790957475,185.553921568628,120.93115942029
57.4264705882353,18.9311594202899,0.115576271505684,195.426470588235,120.93115942029
67.2990196078431,18.9311594202899,0.114236026521032,205.299019607843,120.93115942029
77.171568627451,18.9311594202899,0.112701809862901,215.171568627451,120.93115942029
87.0441176470588,18.9311594202899,0.11137018092284,225.044117647059,120.93115942029
96.9166666666667,18.9311594202899,0.110765044500299,234.916666666667,120.93115942029
106.789215686275,18.9311594202899,0.111301374826821,244.789215686275,120.93115942029
116.661764705882,18.9311594202899,0.11232187929664,254.661764705882,120.93115942029
126.53431372549,18.9311594202899,0.113355232219882,264.53431372549,120.93115942029
136.406862745098,18.9311594202899,0.114393528962428,274.406862745098,120.93115942029
146.279411764706,18.9311594202899,0.115427180265345,284.279411764706,120.93115942029
156.151960784314,18.9311594202899,0.116444805230563,294.151960784314,120.93115942029
166.024509803922,18.9311594202899,0.117433182797693,304.024509803922,120.93115942029
175.897058823529,18.9311594202899,0.118377284417936,313.897058823529,120.93115942029
185.769607843137,18.9311594202899,0.1192604114928,323.769607843137,120.93115942029
195.642156862745,18.9311594202899,0.1200644594926,333.642156862745,120.93115942029
205.514705882353,18.9311594202899,0.120770325598204,343.514705882353,120.93115942029
215.387254901961,18.9311594202899,0.1213584675288,353.387254901961,120.93115942029
225.259803921569,18.9311594202899,0.121809607737657,363.259803921569,120.93115942029
235.132352941176,18.9311594202899,0.122105559990443,373.132352941176,120.93115942029
245.004901960784,18.9311594202899,0.122230136134969,383.004901960784,120.93115942029
254.877450980392,18.9311594202899,0.122170072341032,392.877450980392,120.93115942029
264.75,18.9311594202899,0.121915899727843,402.75,120.93115942029
274.622549019608,18.9311594202899,0.121462677733189,412.622549019608,120.93115942029
284.495098039216,18.9311594202899,0.120810512657888,422.495098039216,120.93115942029
294.367647058824,18.9311594202899,0.119964799648881,432.367647058824,120.93115942029
304.240196078431,18.9311594202899,0.118936152681454,442.240196078431,120.93115942029
314.112745098039,18.9311594202899,0.117740020150126,452.112745098039,120.93115942029
323.985294117647,18.9311594202899,0.1163960180244,461.985294117647,120.93115942029
333.857843137255,18.9311594202899,0.114927042257677,471.857843137255,120.93115942029
343.730392156863,18.9311594202899,0.113358242351201,481.730392156863,120.93115942029
353.602941176471,18.9311594202899,0.111715945935984,491.602941176471,120.93115942029
363.475490196078,18.9311594202899,0.110026619868531,501.475490196078,120.93115942029
373.348039215686,18.9311594202899,0.108315938937441,511.348039215686,120.93115942029
383.220588235294,18.9311594202899,0.106608012645622,521.220588235294,120.93115942029
393.093137254902,18.9311594202899,0.104924797868432,531.093137254902,120.93115942029
402.96568627451,18.9311594202899,0.103285704134481,540.96568627451,120.93115942029
412.838235294118,18.9311594202899,0.10170738132326,550.838235294118,120.93115942029
422.710784313726,18.9311594202899,0.100203667889982,560.710784313726,120.93115942029
432.583333333333,18.9311594202899,0.0987856713278252,570.583333333333,120.93115942029
442.455882352941,18.9311594202899,0.0974619506781911,580.455882352941,120.93115942029
452.328431372549,18.9311594202899,0.0962387723148736,590.328431372549,120.93115942029
462.200980392157,18.9311594202899,0.0951204137005938,600.200980392157,120.93115942029
472.073529411765,18.9311594202899,0.0941094942379356,610.073529411765,120.93115942029
481.946078431373,18.9311594202899,0.0932073168697125,619.946078431373,120.93115942029
491.81862745098,18.9311594202899,0.0924142081765407,629.81862745098,120.93115942029
501.691176470588,18.9311594202899,0.091729848086731,639.691176470588,120.93115942029
511.563725490196,18.9311594202899,0.0911535828801062,649.563725490196,120.93115942029
521.436274509804,18.9311594202899,0.0906847170045756,659.436274509804,120.93115942029
531.308823529412,18.9311594202899,0.0903227804915243,669.308823529412,120.93115942029
541.18137254902,18.9311594202899,0.0900677696492863,679.18137254902,120.93115942029
551.053921568627,18.9311594202899,0.0899203594251432,689.053921568627,120.93115942029
560.926470588235,18.9311594202899,0.0898820865131912,698.926470588235,120.93115942029
570.799019607843,18.9311594202899,0.089955503052136,708.799019607843,120.93115942029
580.671568627451,18.9311594202899,0.0901443016454042,718.671568627451,120.93115942029
590.544117647059,18.9311594202899,0.0904534134275842,728.544117647059,120.93115942029
600.416666666667,18.9311594202899,0.0908890819292633,738.416666666667,120.93115942029
610.289215686274,18.9311594202899,0.0914589164601385,748.289215686274,120.93115942029
620.161764705882,18.9311594202899,0.0921719295333792,758.161764705882,120.93115942029
630.03431372549,18.9311594202899,0.0930385634015707,768.03431372549,120.93115942029
639.906862745098,18.9311594202899,0.0940707110049422,777.906862745098,120.93115942029
649.779411764706,18.9311594202899,0.0952817365236404,787.779411764706,120.93115942029
659.651960784314,18.9311594202899,0.0966865002948781,797.651960784314,120.93115942029
669.524509803922,18.9311594202899,0.0983013921535379,807.524509803922,120.93115942029
679.39705882353,18.9311594202899,0.100144376354029,817.39705882353,120.93115942029
689.269607843137,18.9311594202899,0.102235050213834,827.269607843137,120.93115942029
699.142156862745,18.9311594202899,0.104594717564326,837.142156862745,120.93115942029
709.014705882353,18.9311594202899,0.107246477069323,847.014705882353,120.93115942029
718.887254901961,18.9311594202899,0.110215324526712,856.887254901961,120.93115942029
728.759803921569,18.9311594202899,0.113528267435631,866.759803921569,120.93115942029
738.632352941177,18.9311594202899,0.117214449407391,876.632352941177,120.93115942029
