,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.5833333333333333,0.7777777777777778,0.6153846153846154,0.7692307692307692
1,1,0.9444444444444444,0.8333333333333333,0.7692307692307692,0.7692307692307692
2,2,0.5,0.9722222222222222,0.5384615384615384,0.8461538461538461
3,3,0.6666666666666667,0.8333333333333333,0.6153846153846154,0.7692307692307692
4,4,0.6944444444444444,0.9166666666666666,0.6153846153846154,0.6923076923076923
5,5,0.5277777777777778,0.7222222222222223,0.5384615384615384,0.6923076923076923
6,6,0.9166666666666666,0.861111111111111,0.6923076923076923,0.7692307692307692
7,7,0.6666666666666667,0.6388888888888888,0.6923076923076923,0.6923076923076923
8,8,0.6666666666666667,0.7222222222222222,0.6923076923076923,0.7692307692307692
9,9,0.7222222222222222,0.861111111111111,0.7692307692307692,0.8461538461538461
