,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.6388888888888888,0.75,0.6153846153846154,0.8461538461538461
1,1,0.9722222222222222,0.8055555555555556,0.8461538461538461,0.6923076923076923
2,2,0.6111111111111112,0.9444444444444444,0.6153846153846154,0.8461538461538461
3,3,0.4444444444444444,0.8055555555555555,0.6153846153846154,0.7692307692307692
4,4,0.75,0.9166666666666666,0.6153846153846154,0.6923076923076923
5,5,0.5833333333333333,0.5555555555555556,0.6923076923076923,0.5384615384615384
6,6,0.7222222222222222,0.861111111111111,0.5384615384615384,0.7692307692307692
7,7,0.75,0.6944444444444444,0.6923076923076923,0.6923076923076923
8,8,0.6666666666666667,0.75,0.6153846153846154,0.6923076923076923
9,9,0.75,0.861111111111111,0.7692307692307692,0.8461538461538461
